Q		R
1		5
2		4
3		2
4		1
5		4
6		4
7		2
8		5
9		2
10		1
11		1
12		5
13		3
14		2
15		2
16		5
17		2
18		3
19		2
20		2
21		1
22		1
23		5
24		2
25		3
26		2
27		4
28		5
29		5
30		1
31		3
32		2
33		2
34		2
35		5
36		3
37		5
38		4
39		3
40		2
41		2
42		3
43		2
44		3
45		2
46		1
47		1
48		2
49		1
50		3
51		3
52		3
53		2
54		4
55		2
56		2
57		1
58		2
59		5
60		5
61		5
62		1
63		1
64		2
65		1
66		1
67		4
68		5
69		1
70		2
71		3
72		3
73		2
74		Tried smoking
75		Social drinker
76		1
77		5
78		2
79		3
80		2
81		2
82		1
83		5
84		4
85		4
86		4
87		4
88		3
89		1
90		4
91		5
92		1
93		5
94		3
95		5
96		5
97		3
98		5
99		5
100		4
101		1
102		3
103		1
104		1
105		4
106		2
107		4
108		I am always on time.
109		Never.
110		4
111		1
112		4
113		3
114		4
115		5
116		4
117		5
118		5
119		2
120		5
121		5
122		2
123		2
124		2
125		4
126		2
127		1
128		3
129		2
130		4
131		1
132		2
133		Few hours a day
134		3
135		4
136		3
137		1
138		1
139		1
140		2
141		20
142		180
143		64
144		4
145		Male
146		Right handed
147		Secondary school
148		No
149		City
150		house/bungalow
